date,region_name,Rainfall,SPI - 3 months,Temperature,Water Satisfaction Index (WSI),Solar Radiation,Soil Moisture (gapfilled historical time series),FPAR,FPAR - zscore,asap0_id,asap1_id,month,day,dekad_id,target_ews,Cluster_Wilayah,month_extracted
2001-05-21,Bali,41.567,-0.705,24.093,91.286,193887.144,0.258,68.839,-0.219,183,1169,5,21,15,0,1,5
2001-05-21,Bangka Belitung,118.398,-0.15,26.778,99.877,183205.014,0.237,75.674,0.519,183,628,5,21,15,1,1,5
2001-05-21,Banten,163.812,0.9,25.729,99.539,189785.951,0.362,56.905,-0.002,183,1547,5,21,15,0,0,5
2001-05-21,Bengkulu,95.671,1.474,23.514,99.998,178219.256,0.315,71.052,0.056,183,501,5,21,15,0,2,5
2001-05-21,D.I. Yogyakarta,51.031,0.243,25.779,95.657,205905.248,0.22,59.534,-0.607,183,1171,5,21,15,0,1,5
2001-05-21,Dki Jakarta,73.686,0.702,26.511,98.621,196286.906,0.39,45.325,0.534,183,181,5,21,15,0,0,5
2001-05-21,Gorontalo,47.785,0.543,24.896,99.888,198018.22,0.289,69.302,1.012,183,176,5,21,15,1,1,5
2001-05-21,Jambi,54.476,1.359,20.945,100.0,178112.612,0.316,75.339,0.207,183,1173,5,21,15,0,2,5
2001-05-21,Jawa Barat,93.014,1.032,24.735,98.543,202146.959,0.342,60.074,-0.022,183,2380,5,21,15,0,0,5
2001-05-21,Jawa Tengah,51.113,0.071,25.551,97.02,209616.091,0.328,59.715,-0.718,183,1174,5,21,15,0,0,5
2001-05-21,Jawa Timur,26.554,-0.639,25.782,93.985,209700.636,0.297,58.02,-0.7,183,1175,5,21,15,0,1,5
2001-05-21,Kalimantan Barat,78.94,0.388,26.896,100.0,196586.526,0.302,64.221,0.032,183,1170,5,21,15,0,0,5
2001-05-21,Kalimantan S.,59.214,-0.203,26.477,99.797,202023.541,0.308,69.355,-0.049,183,98,5,21,15,0,0,5
2001-05-21,Kalimantan T.,66.985,0.069,26.671,99.998,201827.908,0.332,73.513,0.124,183,115,5,21,15,0,0,5
2001-05-21,Kalimantan Timur,75.482,1.495,25.786,99.97,193216.18,0.332,69.521,0.089,183,1161,5,21,15,0,0,5
2001-05-21,Kepulauan-riau,89.365,0.728,27.743,98.033,196698.77,0.326,72.067,0.564,183,2384,5,21,15,0,0,5
2001-05-21,Lampung,126.997,0.905,25.487,99.677,165137.672,0.304,57.862,-0.186,183,1176,5,21,15,0,0,5
2001-05-21,Maluku,66.961,0.641,25.763,97.381,179098.256,0.365,71.72,0.249,183,2144,5,21,15,0,0,5
2001-05-21,Maluku Utara,101.755,0.829,24.271,99.165,186609.608,0.297,66.898,0.223,183,635,5,21,15,0,1,5
2001-05-21,Nangroe A.D.,39.724,-1.232,25.985,92.296,203451.22,0.339,55.486,0.437,183,1165,5,21,15,2,0,5
2001-05-21,Nusatenggara B.,32.871,-0.467,25.124,78.409,197231.883,0.182,69.016,0.511,183,1178,5,21,15,1,1,5
2001-05-21,Nusatenggara T.,21.069,0.155,24.494,79.487,205916.581,0.249,66.024,-0.099,183,1179,5,21,15,0,1,5
2001-05-21,Papua,8.62,0.849,25.408,97.817,176955.093,0.302,57.843,-0.459,183,2385,5,21,15,0,1,5
2001-05-21,Papua Barat,119.751,0.759,24.716,99.096,196879.772,0.383,68.519,0.373,183,2179,5,21,15,0,0,5
2001-05-21,Riau,78.039,0.678,26.319,99.999,186110.377,0.31,77.656,0.288,183,2386,5,21,15,0,0,5
2001-05-21,Sulawesi Barat,83.082,0.833,25.047,99.156,194206.121,0.333,68.279,0.48,183,2151,5,21,15,0,0,5
