date,region_name,Rainfall,SPI - 3 months,Temperature,Water Satisfaction Index (WSI),Solar Radiation,Soil Moisture (gapfilled historical time series),FPAR,FPAR - zscore,asap0_id,asap1_id,asap0_name,w_crop,w_crop_na,w_crop_de,w_crop_gr,w_range,w_range_na,w_range_de,w_range_gr,month,day,dekad_id,Year,target_biner,Split_Type,Cluster
2001-05-21,Bali,-0.30721509242164907,-0.6271379703534776,-0.5733540694660448,-0.9576597382602003,0.44586649374191517,-1.032258064516129,0.8740711384127606,-0.4526112185686653,183,1169,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,2
2001-05-21,Bangka Belitung,0.8413247725896748,-0.20524515393386544,0.8185588387765658,0.14459840903258864,0.10106721212418601,-1.3709677419354842,1.5512731596155749,0.9748549323017408,183,628,Indonesia,10,No warning with exceptional conditions,Season is active but no relevant negative anomalies are detected and at least 25% of the active area is affected by a positive anomaly for the indicator zNDVIc,No warning,10,No warning with exceptional conditions,Season is active but no relevant negative anomalies are detected and at least 25% of the active area is affected by a positive anomaly for the indicator zNDVIc,No warning,5,21,15,2001,0,Train,2
2001-05-21,Banten,1.5202146663776548,0.5929304446978335,0.27475375842405236,0.10123171670515804,0.31348761423233623,0.6451612903225803,-0.3083325076785892,-0.03288201160541586,183,1547,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,1
2001-05-21,Bengkulu,0.5015808474538267,1.0292664386164956,-0.8735095904613792,0.16012317167051643,-0.05986377979595032,-0.11290322580645172,1.0933320122857426,0.0793036750483559,183,501,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,0
2001-05-21,DI Yogyakarta,-0.16573858837423114,0.09350057012542759,0.3006739243131144,-0.3968437259430337,0.8337885304150462,-1.6451612903225807,-0.047854948974537195,-1.2030947775628626,183,1171,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,2
2001-05-21,Gorontalo,-0.2142627570278574,0.3215507411630559,-0.1570762052877141,0.14600975109058323,0.5792099408922721,-0.5322580645161296,0.919944516001189,1.9284332688588006,183,176,Indonesia,10,No warning with exceptional conditions,Season is active but no relevant negative anomalies are detected and at least 25% of the active area is affected by a positive anomaly for the indicator zNDVIc,No warning,10,No warning with exceptional conditions,Season is active but no relevant negative anomalies are detected and at least 25% of the active area is affected by a positive anomaly for the indicator zNDVIc,No warning,5,21,15,2001,0,Train,2
2001-05-21,Jambi,-0.11423958621411333,0.9418472063854046,-2.205287713841367,0.16037977931742373,-0.06330604969800555,-0.09677419354838718,1.5180818388982453,0.3713733075435203,183,1173,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,0
2001-05-21,Jawa Barat,0.4618615880229316,0.6932725199543899,-0.24053913945049335,-0.026558891454964553,0.7124779540307661,0.3225806451612906,0.0056474784504106845,-0.07156673114119923,183,2380,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,1
2001-05-21,Jawa Tengah,-0.16451277758261149,-0.03724819460281262,0.18247796785899242,-0.22196561457531494,0.9535676381956271,0.09677419354838718,-0.029921727930248637,-1.4177949709864603,183,1174,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,1
2001-05-21,Jawa Timur,-0.5316431096726937,-0.5769669327251995,0.30222913426645814,-0.6113677187580193,0.9562965934942776,-0.40322580645161327,-0.197859902903002,-1.3829787234042552,183,1175,Indonesia,0,No warning,Season is active but no relevant anomalies are detected,No warning,0,No warning,Season is active but no relevant anomalies are detected,No warning,5,21,15,2001,0,Train,1
